	2011-03-18 23:20:22	Soo good! http://bit.ly/h3soXb 
koibraces	2012-03-19 09:24:49	I&#39;m watching The Walking Dead (2005 others checked-in) http://t.co/B1K9zUVA @GetGlue @WalkingDead_AMC
koibraces	2012-03-12 01:05:17	I&#39;m watching The Walking Dead (1573 others checked-in) http://t.co/B1K9zUVA @GetGlue @WalkingDead_AMC
koibraces	2012-03-06 13:44:40	I&#39;m watching The Walking Dead (172 others checked-in) http://t.co/B1K9zUVA @GetGlue @WalkingDead_AMC
koibraces	2012-03-05 04:17:00	I&#39;m watching The Walking Dead (21231 others checked-in) http://t.co/B1K9zUVA @GetGlue @WalkingDead_AMC
koibraces	2012-03-02 23:37:21	S2E5 http://t.co/4FaJUHKF @GetGlue @WalkingDead_AMC
koibraces	2012-03-01 01:48:10	I&#39;m watching The Walking Dead (443 others checked-in) http://t.co/B1K9zUVA @GetGlue @WalkingDead_AMC
koibraces	2012-03-01 01:15:17	New trailer link. http://t.co/dXQF5BHP
koibraces	2012-02-29 00:32:53	Starting from scratch. http://t.co/B1K9zUVA @GetGlue @WalkingDead_AMC
koibraces	2012-02-25 02:53:13	Catching up with my check in&#39;s. http://t.co/B1K9zUVA @GetGlue @WalkingDead_AMC
koibraces	2012-02-24 22:30:08	Playing Alan Wake&#39;s American Nightmare for the first time. http://t.co/iFJ4jXWQ
koibraces	2012-02-23 17:12:09	played Red Faction: Armageddon (360) in the last 24 hours. http://t.co/iFJ4jXWQ
koibraces	2012-02-22 17:09:07	played Resident Evil 5 (360) and Red Faction: Armageddon (360) in the last 24 hours. http://t.co/iFJ4jXWQ
koibraces	2012-02-21 19:24:36	I&#39;m eating Pancake (24 others checked-in) http://t.co/sVmsTTXv @GetGlue #Pancake
koibraces	2012-02-21 12:11:56	I&#39;m watching The Office (27 others checked-in) http://t.co/sVmsTTXv @GetGlue @theofficenbc
koibraces	2012-02-21 02:42:12	I&#39;m watching How I Met Your Mother (2710 others checked-in) http://t.co/cmHiy9kb @GetGlue @HIMYM_CBS
koibraces	2012-02-19 21:32:33	I&#39;m watching The Office (100 others checked-in) http://t.co/sVmsTTXv @GetGlue @theofficenbc
koibraces	2012-02-18 20:29:31	I&#39;m watching The Office (93 others checked-in) http://t.co/sVmsTTXv @GetGlue @theofficenbc
koibraces	2012-02-18 16:09:48	I&#39;m watching Supernatural (357 others checked-in) http://t.co/sVmsTTXv @GetGlue #Supernatural
koibraces	2012-02-18 10:54:49	Registered for #TrueAchievement Twitter updates on http://t.co/1sQL0Glo
koibraces	2012-02-18 10:32:18	I won 5 achievements in 2 games for 97 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-18 02:25:39	I&#39;m watching Supernatural (2177 others checked-in) http://t.co/sVmsTTXv @GetGlue #Supernatural
koibraces	2012-02-17 23:09:52	I&#39;m watching X-Men http://t.co/sVmsTTXv @GetGlue #XMen
koibraces	2012-02-17 21:43:55	I&#39;m watching Zack and Miri Make a Porno http://t.co/sVmsTTXv @GetGlue #ZackAndMiriMakeAPorno
koibraces	2012-02-17 17:11:09	played Metal Gear Solid HD Collection (360) and 1 other game in the last 24 hours. http://t.co/iFJ4jXWQ
koibraces	2012-02-17 14:50:19	Playing Metal Gear Solid: Peace Walker HD for the first time. http://t.co/iFJ4jXWQ
koibraces	2012-02-17 05:45:30	I won 6 achievements in Metal Gear Solid HD for 190 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-15 04:10:37	I&#39;m watching Prison Break (14 others checked-in) http://t.co/sVmsTTXv @GetGlue #PrisonBreak
koibraces	2012-02-15 02:03:34	I won 9 achievements in Metal Gear Solid HD for 210 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-13 22:59:29	I&#39;m watching The Town http://t.co/sVmsTTXv @GetGlue #TheTown
koibraces	2012-02-13 19:54:37	I&#39;m watching 30 Minutes or Less http://t.co/sVmsTTXv @GetGlue #30MinutesOrLess
koibraces	2012-02-12 23:30:46	I&#39;m watching British Academy Film Awards (1213 others checked-in) http://t.co/sVmsTTXv @GetGlue @BAFTA
koibraces	2012-02-12 19:52:15	I reached a new #TrueAchievement Milestone: 150,000 TrueAchievement Score - http://t.co/L68mpQs1
koibraces	2012-02-12 19:52:14	I completed the game The Darkness II - http://t.co/L68mpQs1
koibraces	2012-02-12 19:52:14	I won 2 achievements in The Darkness II for 375 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-12 17:44:50	I won 6 achievements in The Darkness II for 350 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-12 00:10:21	I won 13 achievements in The Darkness II for 511 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-11 17:13:10	played The Darkness II (360) in the last 24 hours. http://t.co/iFJ4jXWQ
koibraces	2012-02-11 14:16:45	Playing The Darkness II for the first time. http://t.co/iFJ4jXWQ
koibraces	2012-02-11 02:23:10	I&#39;m watching Supernatural (2207 others checked-in) http://t.co/sVmsTTXv @GetGlue #Supernatural
koibraces	2012-02-10 23:57:56	I won 29 achievements in The Darkness II for 713 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-10 15:09:54	I&#39;m watching Prison Break http://t.co/sVmsTTXv @GetGlue #PrisonBreak
koibraces	2012-02-10 03:49:52	I won 11 achievements in Metal Gear Solid HD for 395 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-08 17:24:45	I won 12 achievements in 4 games for 203 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-08 17:11:07	played Tony Hawk&#39;s American Wasteland (360), Prototype (360), and 3 other games in the last 24 hours. http://t.co/iFJ4jXWQ
koibraces	2012-02-07 21:48:14	Playing Super Street Fighter IV for the first time. http://t.co/iFJ4jXWQ
koibraces	2012-02-07 20:28:29	Playing Prototype for the first time. http://t.co/iFJ4jXWQ
koibraces	2012-02-07 18:59:08	I reached a new #TrueAchievement Milestone: 275 Games Played - http://t.co/L68mpQs1
koibraces	2012-02-07 18:59:07	I won 6 achievements in 2 games for 138 #TrueAchievement points - http://t.co/L68mpQs1
koibraces	2012-02-07 17:11:07	played Alan Wake (360), Metal Gear Solid HD Collection (360), and 1 other game in the last 24 hours. http://t.co/iFJ4jXWQ
